Address,Zip Code,Value,SQFT,Price Per SQFT,Number of Bedrooms,Number of Bathrooms,Number of Full Bathrooms,Year Built,Heating,Cooling,Parking,Type,Has Garage,Number of Stories,HOA Fee
610 W Surf St APT 4A,60657,500000,1800,278,3,2,2,1904,Other,Central,Covered,Condo,null,4,331
8725 S Burley Ave,60617,650001,null,NaN,10,4,2,1890,Gas,null,None,Multiple Occupancy,No,null,null
1539 W Montana St #2,60614,424900,null,NaN,2,2,2,2003,Forced air: Gas,Central,Garage: Garage - Detached: Covered,Condo,null,3,174
3950 N Lake Shore Dr #2020,60613,220000,1200,183,3,2,1,1957,Other,None,Garage - Attached: Covered,Condo,null,1,874
8316 S Muskegon Ave,60617,34900,null,NaN,6,2,2,1898,Gas,null,Covered,Multiple Occupancy,null,null,null
1838 S Springfield Ave APT C,60623,80000,1200,67,2,2,1,1999,Gas,null,None,Townhouse,No,2,null
1111 W Cornelia Ave APT 110,60657,369000,1500,246,2,1,1,1925,Forced air: Gas,Central,Garage - Attached: Covered,Condo,null,2,277
1013 N Cleveland Ave UNIT 3,60610,775000,2198,353,3,3,2,2015,Forced air: Gas,Central,Garage - Attached: Covered,Townhouse,null,2,233
1629 N Keating Ave,60639,169800,1000,170,2,1,1,1926,Gas,null,Garage - Detached: Covered,Single Family,null,null,null
906 N Karlov Ave,60651,90000,1690,53,4,2,2,1913,null,null,Garage - Detached: Covered,Single Family,null,null,null
5000 N Marine Dr #11E,60640,99900,900,111,1,1,1,1923,Gas,Wall,None,Condo,No,9,1213
1512 N Sedgwick St APT 4,60610,488000,1500,325,2,2,2,2004,Forced air: Gas,Central,Garage: Garage - Attached: Covered,Condo,null,4,250
2909 S Wallace St,60616,420000,2313,182,6,3,3,1880,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
3845 N Milwaukee Ave,60641,500000,2362,212,4,3,3,1999,Forced air: Gas,Central,Garage - Attached: Covered,Single Family,null,null,135
11154 S Whipple St,60655,269900,2368,114,4,2,2,1920,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
3604 W 64th Pl,60629,179900,1362,132,3,1,1,1925,null,null,Garage: None,Single Family,No,null,null
1911 N Lockwood Ave,60639,279500,2018,139,4,3,3,2009,Forced air: Electric,Central,Garage - Attached: Covered,Townhouse,null,3,126
714 W Fullerton Ave #1,60614,414500,1700,244,3,2,2,1926,Radiant,Central,Garage - Detached: Covered,Condo,null,3,404
522 W Deming Pl,60614,6700000,6600,1015,6,6,5,1883,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
3900 N Lake Shore Dr APT 3A,60613,240000,1250,192,2,2,2,1960,null,null,Garage - Attached: Covered,Condo,null,9,1200
7348 N Ridge Blvd APT 16B,60645,124900,1200,104,2,1,1,1929,Forced air: Gas,Other,Covered,Condo,null,4,588
2826 W Fletcher St #2,60618,495000,1450,341,3,3,2,2020,Forced air: Gas,Central,Garage - Detached: Covered,Condo,null,3,125
2535 W 82nd St,60652,214500,1140,188,2,2,1,1943,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
2723 N Mozart St,60647,569900,null,NaN,4,2,2,null,Forced air,Central,Garage - Detached: Covered,Multiple Occupancy,null,null,null
3456 N Janssen Ave APT F1,60657,299900,1058,283,2,2,2,1921,Forced air: Gas,Central,None,Condo,No,2,264
2959 N Nashville Ave,60634,285500,1070,267,3,2,1,1958,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
9644 S Longwood Dr,60643,499000,2600,192,4,3,2,1912,Gas,null,Garage - Detached: Covered,Single Family,null,null,null
33 W Ontario St PENTHOUSE D,60654,2880000,4354,661,4,4,4,2003,Forced air: Gas,Central,Garage - Attached: Covered,Condo,null,60,3739
2741 N Mason Ave,60639,349900,1470,238,4,2,2,1914,Forced air,null,Garage: None,Multiple Occupancy,No,null,null
5919 N Knox Ave,60646,649000,1850,351,4,3,2,1920,Gas,Central,Garage - Attached: Covered,Single Family,null,null,null
1851 W Newport Ave #1,60657,399900,2000,200,3,3,2,1905,Gas,Central,None: Covered,Condo,null,3,342
3415 S Indiana Ave,60616,410000,2775,148,4,3,2,1988,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
2426 W Winona St,60625,750000,2346,320,3,3,3,1906,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
4600 N Central Park Ave #2,60625,225000,1300,173,2,2,2,1911,Forced air: Gas,Central,None,Condo,No,3,296
1038 W Balmoral Ave APT 1A,60640,324900,1900,171,3,2,2,1922,None: Radiant,Wall,None: Covered,Condo,null,7,741
8453 S Rhodes Ave,60619,269900,2033,133,4,3,2,1920,Gas,Central,Garage - Detached: Covered,Single Family,null,1,null
3153 W Wallen Ave,60645,997000,4856,205,5,6,5,2018,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
7254 W Bryn Mawr Ave,60631,289927,1089,266,3,2,1,1959,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
