Address,Zip Code,Value,SQFT,Price Per SQFT,Number of Bedrooms,Number of Bathrooms,Number of Full Bathrooms,Year Built,Heating,Cooling,Parking,Type,Has Garage,Number of Stories,HOA Fee
4800 S Lake Park Ave APT 607,60615,35000,1175,30,2,1,1,1970,Forced air: Gas,Central,None,Condo,No,9,1177
232 N La Crosse Ave,60644,239900,2300,104,5,3,3,1885,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
12043 S Wallace St,60628,7000,1970,4,7,3,3,1898,Gas,null,None,Multiple Occupancy,No,3,null
1511 S Kolin Ave #2,60623,55900,null,NaN,3,2,2,2006,Gas,Central,Covered,Condo,null,1,null
4938 S Drexel Blvd APT 114R,60615,209000,1218,172,2,2,1,1891,Forced air: Gas,Central,Garage: Covered,Condo,null,2,377
2636 N Orchard St APT 2R,60614,349000,1100,317,2,2,2,2013,Forced air: Gas,Central,None,Condo,No,4,238
146 W 112th Pl,60628,39900,1500,27,3,2,1,1915,Gas,Central,Garage - Detached: Covered,Single Family,null,2,null
1224 W Van Buren St APT 504,60607,275000,1140,241,2,2,1,2004,Gas,Central,Garage - Attached: Covered,Condo,null,8,571
7302 S Lafayette Ave,60621,89900,1411,64,3,3,2,1900,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
2139 W Gladys Ave #2,60612,245000,1200,204,3,2,2,2020,Gas,Central,Covered,Townhouse,null,2,null
10059 S Indiana Ave,60628,74900,1152,65,3,2,1,1965,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
7000 S Paxton Ave N #2,60649,95000,2000,48,3,2,2,1919,Forced air: Gas,null,None,Condo,No,3,450
5025 W Washington Blvd,60644,265000,2191,121,5,3,3,1935,Forced air: Gas,null,Garage: None,Multiple Occupancy,No,null,null
7652 S Honore St,60620,255000,1800,142,6,2,2,1918,Forced air: Gas,Central,Garage: Garage - Detached: Covered,Single Family,null,null,null
1552 S Sawyer Ave,60623,85000,null,NaN,4,2,2,1914,Gas,null,Garage - Detached: Covered,Multiple Occupancy,null,null,null
6156 S Saint Lawrence Ave,60637,524000,2100,250,5,4,3,2020,Forced air: Heat pump: Electric,Central,Garage - Detached: Covered,Multiple Occupancy,null,null,null
728 W Jackson Blvd APT 403,60661,389000,1435,271,2,2,2,1926,Forced air: Heat pump: Other,Central,Garage - Attached: Covered,Condo,null,9,708
5850 W 55th St APT 2K,60638,130000,800,163,2,1,1,1969,Electric,null,Covered,Condo,null,3,169
5258 S Central Ave,60638,244900,3503,70,5,3,3,1967,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
6166 N Sheridan Rd APT 6H,60660,148800,1200,124,2,2,1,1970,Baseboard,null,Garage - Attached: Covered,Condo,null,9,982
6030 N Sheridan Rd APT 1108,60660,127800,800,160,2,1,1,1949,Baseboard,Central,Garage: Garage - Attached: Covered,Condo,null,9,380
5621 S Mayfield Ave,60638,219900,1643,134,4,2,2,1955,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
710 N Leamington Ave,60644,49000,1512,32,4,2,2,1895,null,null,Garage,Single Family,No,2,null
4850 S Lake Park Ave APT 808,60615,33000,1175,28,2,1,1,1970,Electric,Central,Garage - Detached: Covered,Condo,null,9,1293
2615 W 102nd Pl,60655,559000,2620,213,5,5,4,1947,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
958 N Wolcott Ave #1,60622,519000,2000,260,3,3,2,2003,Forced air: Gas,Central,Garage: Garage - Detached: Covered,Townhouse,null,3,277
6700 S Crandon Ave APT 2A,60649,55000,2100,26,4,3,2,1926,Other: Gas,null,None,Condo,No,9,1278
1000 N Lake Shore Dr APT 1003,60611,125000,900,139,1,1,1,1954,null,null,Garage - Attached,Condo,No,9,711
10516 S Eggleston Ave,60628,229900,2000,115,4,2,2,1927,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
3201 W Leland Ave APT 207,60625,184000,828,222,2,1,1,2010,Forced air: Gas,Central,Garage - Attached,Condo,No,5,187
12438 S Perry Ave,60628,214000,1220,175,4,2,2,1951,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
830 W Agatite Ave APT 3,60640,248800,1380,180,3,2,2,2015,Forced air: Gas,Central,Garage: Covered,Condo,null,3,337
4557 N Harding Ave,60625,459000,2000,230,3,3,2,1905,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
11533 S Peoria St,60643,39000,900,43,3,2,1,1961,null,null,Garage: Off-street,Single Family,No,null,null
1221 N Dearborn St PENTHOUSE P9N,60610,290000,1200,242,2,2,1,1972,Electric,null,Garage - Attached: Covered,Condo,null,9,803
15 W Burton Pl,60610,13500000,10000,1350,6,8,5,2008,Forced air: Gas,Central,Garage - Attached: Covered,Single Family,null,null,null
1516 S Sawyer Ave,60623,95500,null,NaN,8,2,2,1895,null,null,Covered,Multiple Occupancy,null,null,null
1500 N Lake Shore Dr,60610,17000000,8000,2125,6,7,6,1927,null,null,Garage - Attached: Covered,Condo,null,9,8207
307 N Parkside Ave,60644,350000,2308,152,6,3,3,1900,null,null,Garage: Garage - Detached: Covered,Single Family,null,null,null
8604 S Ada St,60620,284900,3185,89,4,3,3,1926,null,null,Garage - Detached: Covered,Single Family,null,null,null
4556 S King Dr #3D,60653,129900,1800,72,3,2,2,1886,Forced air: Gas,Central,None,Condo,No,4,309
1910 S Michigan Ave APT 201,60616,199900,825,242,1,1,1,2001,Forced air: Gas,Central,Garage: Garage - Attached: Covered,Condo,null,4,347
2239 N Lister Ave APT 402,60614,375000,1400,268,3,2,2,2006,Forced air: Gas,Central,Covered,Condo,null,4,225
4818 S Calumet Ave,60615,399999,1500,267,3,3,2,2020,Forced air: Gas,Central,Covered,Single Family,null,null,null
300 N State St APT 5823,60654,425000,1225,347,2,2,2,1962,Forced air: Electric,Other,Garage - Attached: Covered,Condo,null,9,903
430 W Armitage Ave APT E,60614,499900,1500,333,2,2,2,1996,Forced air: Gas,Central,Garage - Attached: Covered,Townhouse,null,null,394
8800 S Houston Ave,60617,79900,null,NaN,6,3,3,1890,Gas,null,Garage - Detached: Covered,Multiple Occupancy,null,null,null
7353 S Honore St,60636,174900,1200,146,5,2,2,1965,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
6635 S Damen Ave,60636,,null,NaN,null,null,null,null,null,null,null,null,null,null,null
3 W Burton Pl,60610,18750000,20002,937,6,13,8,null,Gas,Central,Garage - Attached: Covered,Single Family,null,null,null
900 E 62nd St APT BW,60637,184900,1200,154,3,2,2,null,Forced air,Central,Covered,Condo,null,3,308
50 W Schiller St #G-2,60610,299000,null,NaN,3,2,2,1922,null,null,None,Condo,No,3,1582
3804 S Wabash Ave,60653,495900,3000,165,4,4,3,1885,Forced air: Gas,Central,Garage: None,Single Family,No,null,null
523 N Troy St,60612,319000,null,NaN,4,4,3,2020,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
4859 S Forrestville Ave,60615,625900,3600,174,4,4,3,1880,Forced air: Gas,Central,Garage: Garage - Detached: Covered,Single Family,null,null,null
6413 S Kenneth Ave,60629,359900,2600,138,5,3,3,1953,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
3133 N Lakewood Ave APT 2E,60657,350000,1200,292,2,2,2,2009,Forced air: Gas,Central,Garage - Attached: Covered,Condo,null,4,302
7730 N Eastlake Ter APT 1,60626,250000,1400,179,2,2,2,1925,Forced air: Gas,Central,Garage: Off-street: Covered,Condo,null,4,233
8 W Monroe St APT 1100,60603,240000,1000,240,2,2,1,2006,Forced air: Gas,Central,Garage - Attached: Covered,Condo,null,9,663
1962 W Diversey Pkwy APT 2,60614,325000,1200,271,2,2,2,2000,Forced air: Gas,Central,Garage: Garage - Detached: Covered,Condo,null,1,133
3534 N Lake Shore Dr APT 7C,60657,374900,1800,208,3,2,2,1920,Gas,null,None,Condo,No,9,1205
11538 S Avenue J,60617,274000,2400,114,3,2,2,1977,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
1270 S Saint Louis Ave #3,60623,114900,1200,96,3,2,2,2007,Forced air,Central,Off-street: Covered,Condo,null,3,95
609 W Belden Ave APT 1D,60614,599900,2000,300,3,3,2,null,Forced air: Gas,Central,Covered,Condo,null,4,329
1508 E 75th St,60619,69899,2420,29,5,2,2,1905,Other: Gas,null,Garage - Detached: Covered,Multiple Occupancy,null,2,null
2849 W Congress Pkwy,60612,229000,1222,187,3,3,2,2020,Gas,Central,Garage - Detached: Covered,Townhouse,null,3,125
10218 S Prospect Ave,60643,175000,1360,129,3,2,2,1905,None: Other,Wall,Garage - Attached: Covered,Single Family,null,null,null
2728 N Pine Grove Ave #2,60614,369000,1400,264,2,2,2,1920,null,null,None,Condo,No,3,464
6838 S South Shore Dr APT 3,60649,182500,2500,73,3,3,2,1934,Gas,null,None,Condo,No,3,667
3656 N Lotus Ave,60641,329900,1222,270,4,3,1,1925,Forced air,Central,Garage - Detached: Covered,Single Family,null,null,null
770 W Gladys Ave APT 605,60661,394900,1200,329,2,2,2,2006,Forced air: Gas,Central,Off-street: Covered,Condo,null,7,538
4624 S Greenwood Ave UNIT GN,60653,204900,1600,128,3,2,2,2007,Forced air: Gas,Central,Garage - Detached: Covered,Condo,null,3,182
10628 S Hamilton Ave,60643,399900,1426,280,3,2,1,1957,Forced air: Gas,Central,Garage - Attached: Covered,Single Family,null,1,null
1930 W Morse Ave,60626,360000,null,NaN,6,3,2,1880,Baseboard,null,Covered,Multiple Occupancy,null,null,null
734 W 129th Pl,60628,146000,1440,101,3,2,1,1952,Forced air,Central,Garage - Detached: Covered,Single Family,null,1,null
1511 N Paulina St #1R,60622,549000,null,NaN,3,3,2,1989,Forced air: Gas,Central,Garage - Detached: Covered,Townhouse,null,3,null
3173 W Monroe St APT 3,60612,154900,1275,121,3,2,2,2002,Forced air: Gas,Central,Garage: Garage - Attached: Covered,Condo,null,3,150
7725 N Ashland Ave #3,60626,110000,1450,76,2,1,1,1908,Radiant,Wall,None,Condo,No,3,688
2100 N Lincoln Park W APT 11AS,60614,449900,1400,321,3,2,2,null,Gas,Central,Garage - Attached: Covered,Condo,null,9,946
10805 S Campbell Ave,60655,299000,1297,231,3,2,2,1950,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
2440 N Lakeview Ave #7D,60614,389000,1500,259,2,2,2,1927,Gas,null,Garage - Detached: Covered,Condo,null,9,1629
3860 W Maypole Ave,60624,140000,750,187,4,2,2,1910,Gas,null,Garage - Detached: Covered,Multiple Occupancy,null,null,null
78 E Elm St APT 1,60611,439000,1500,293,2,2,2,1914,Forced air: Gas,Central,None,Condo,No,1,227
2245 N Rockwell St #3,60647,775000,null,NaN,4,3,3,2020,Gas,Central,Garage - Detached: Covered,Townhouse,null,3,150
9943 S Paxton Ave,60617,62000,1386,45,3,2,1,1949,Gas,null,Garage - Detached: Covered,Single Family,null,null,null
5530 S Meade Ave,60638,369900,1200,308,3,2,2,1954,null,null,Garage - Detached: Covered,Single Family,null,1,null
549 W Belden Ave APT 1RE,60614,360000,900,400,2,2,2,1894,Forced air: Gas,Central,None: Covered,Condo,null,4,228
1411 N Fairfield Ave,60622,500000,1240,403,9,6,3,1897,Other: Gas,Central,Off-street: Covered,Multiple Occupancy,null,null,null
4424 N Monticello Ave,60625,329900,2016,164,4,3,3,1914,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
5847 S Natchez Ave,60638,217900,1170,186,3,1,1,1957,Gas,Central,Garage: Garage - Detached: Covered,Single Family,null,null,null
7757 S Evans Ave,60619,165000,4272,39,6,4,4,null,null,null,null,Multiple Occupancy,No,null,null
7047 S Ada St,60636,25000,null,NaN,4,2,2,null,null,null,Off-street,Multiple Occupancy,No,2,null
5415 N Sheridan Rd APT 4411,60640,289900,1200,242,2,2,2,1973,Forced air: Gas,Central,Garage - Attached: Covered,Condo,null,9,974
4001 E 134th St TRAILER 146,60633,12500,840,15,2,2,2,1987,Heat pump: Stove: Electric: Wood / Pellet,Central: Other,Garage,Mobile / Manufactured,No,null,600
723 N Lockwood Ave,60644,260000,3780,69,5,4,4,1910,Forced air: Gas,Central,Garage: Garage - Detached: Covered,Single Family,null,null,null
5061 N Kimberly Ave,60630,299000,760,393,4,2,2,1958,Forced air,Central,Garage: Garage - Detached: Covered,Single Family,null,null,null
405 N Wabash Ave UNIT 513,60611,279999,1000,280,2,1,1,1977,Forced air: Gas,Central,Garage: None: Covered,Condo,No,9,654
4942 S Princeton Ave,60609,25000,null,NaN,4,3,3,null,Baseboard,null,None,Single Family,No,null,null
4908 N Harding Ave,60625,315000,1084,291,6,2,2,1993,Gas,Central,Garage - Detached: Covered,Single Family,null,null,170
4940 S East End Ave APT 2B,60615,250000,1500,167,3,3,3,1929,Gas,null,Covered,Condo,null,9,1048
3950 N Lake Shore Dr #2010B,60613,189000,1215,156,3,2,1,1956,null,null,Garage - Attached: Covered,Condo,null,9,900
726 W Garfield Blvd,60609,5998771,6270,957,12,6,5,1890,Gas,null,Garage: Garage - Detached: Covered,Single Family,null,4,null
5727 S Michigan Ave #G,60637,59000,1300,45,2,2,2,1901,Forced air,Central,None,Condo,No,1,100
1529 S State St #TOWNHOUSE 5,60605,400000,1955,205,3,3,2,2001,Forced air: Gas,Central,Garage - Attached: Covered,Townhouse,null,3,1045
2032 N Burling St #2,60614,499000,1600,312,2,2,2,2012,Forced air: Gas,Central,Garage: None: Covered,Condo,null,3,169
4432 S Prairie Ave #2,60653,189500,1500,126,3,2,2,1884,Gas,Central,Covered,Condo,null,3,220
2740 N Pine Grove Ave APT 6D,60614,300000,1150,261,2,2,2,1974,Baseboard: Electric,null,Garage - Attached: Covered,Condo,null,9,517
1550 W Asher St,60643,265000,2400,110,3,4,3,2010,Forced air: Gas,Central,Garage - Attached: Covered,Townhouse,null,2,150
920 W Sheridan Rd APT 302,60613,360000,1400,257,2,2,1,null,Forced air: Gas,Central,Garage - Attached: Covered,Condo,null,4,445
2627 N Sheffield Ave,60614,450000,null,NaN,2,2,2,null,null,null,Garage - Detached: Covered,Condo,null,3,180
9729 S Seeley Ave,60643,339000,1985,171,5,2,1,1921,Forced air: Gas,Partial,Garage - Detached: Covered,Single Family,null,null,null
8507 S Manistee Ave,60617,230000,2100,110,3,2,2,1924,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
208 W Washington St APT 1113,60606,259000,1150,225,2,2,2,1923,Forced air: Gas,Central,Garage: Garage - Attached: Covered,Condo,null,9,693
2700 N Hampden Ct APT 21C,60614,339900,1000,340,2,2,2,1968,null,null,Garage - Attached: Covered,Single Family,null,25,669
454 W Wrightwood Ave APT 2B,60614,339000,1200,283,2,2,1,1906,Forced air: Gas,Central,None,Condo,No,3,249
3524 W 85th St,60652,260000,1138,228,3,2,2,1957,null,null,Garage - Detached: Covered,Single Family,null,null,null
2133 N Sayre Ave,60707,417201,2352,177,4,3,2,1924,Radiant: Gas,Other,Garage: None: Covered,Single Family,null,null,null
2728 W Cortez St #1,60622,284900,1450,196,3,2,2,2004,Forced air: Gas,Central,Garage - Detached: Covered,Condo,null,4,250
4147 S Calumet Ave,60653,649000,3300,197,5,4,3,2020,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
30 E Division St APT 2A,60610,214900,936,230,1,1,1,1973,Electric,null,Garage - Attached: Covered,Condo,null,9,577
4616 S Spaulding Ave,60632,309000,null,NaN,4,3,3,1924,Electric: Gas,null,Garage - Detached: Covered,Multiple Occupancy,null,null,null
1702 N Orchard St APT C,60614,540000,1831,295,2,3,2,1983,Forced air: Gas,Central,Garage: Garage - Detached: Covered,Townhouse,null,2,100
2948 N Laramie Ave #7,60641,49900,800,62,1,1,1,1930,Gas,None,null,Condo,No,null,null
7926 S Escanaba Ave,60617,39900,888,45,3,2,1,1895,Forced air,Central,Garage - Detached: None: Covered,Single Family,null,null,null
1700 N Harding Ave,60647,699000,3000,233,5,4,3,2020,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
1812 S Hamlin Ave,60623,299000,1722,174,4,2,2,1900,Gas,null,None,Multiple Occupancy,No,null,null
5016 N Natoma Ave,60656,249900,868,288,3,1,1,1953,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
7738 N Sheridan Rd APT 3L,60626,264900,1240,214,2,2,2,2003,Forced air: Gas,Central,Garage - Detached: Covered,Condo,null,4,314
345 W Fullerton Pkwy APT 802,60614,164900,null,NaN,1,1,1,1972,Forced air,Central,Garage - Attached: Covered,Condo,null,9,450
9137 S Michigan Ave,60619,110000,1286,86,3,2,1,1945,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
7801 S Drexel Ave,60619,199999,1301,154,4,3,3,1942,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
3406 N Seminary Ave #2,60657,299000,1300,230,2,2,2,1998,Forced air: Gas,Central,Garage - Attached: Covered,Condo,null,1,99
2535 W Monroe St,60612,235000,1100,214,3,1,1,null,Forced air,Central,Covered,Single Family,null,null,null
2131 N Clark St APT 1,60614,600000,1490,402.68,3,3,2,1976,Forced air: Electric,Central,Off-street: Covered,Condo,null,3,527
5306 N Cumberland Ave APT 306-3,60656,120000,1100,109,2,2,2,1976,Gas,null,Garage - Attached: Covered,Condo,null,5,361
7728 N Sheridan Rd,60626,499999,2097,238,3,2,2,1918,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
5751 W Ainslie St,60630,699900,3104,225,4,4,3,2020,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
73 E Elm St APT 7C,60611,399000,1200,333,2,1,1,1928,null,null,None,Condo,No,9,948
7520 W Addison St,60634,175000,920,190,3,2,2,1922,null,null,Garage - Detached: Covered,Single Family,null,null,null
3432 W Belden Ave #G,60647,299900,1200,250,2,2,2,1902,Gas,Central,Garage - Detached: Covered,Condo,null,2,195
6606 S University Ave #3,60637,279000,1277,218,2,2,2,2020,Forced air: Gas,Central,Garage - Detached: Covered,Condo,null,3,123
6741 N Oliphant Ave,60631,725000,3050,238,4,5,4,2005,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,248
7800 S Crandon Ave,60649,215000,2304,93,4,4,3,1935,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
706 N Trumbull Ave,60624,199000,1600,124,4,3,3,1905,Forced air: Gas,null,Garage - Detached: Covered,Single Family,null,null,null
11156 S Trumbull Ave,60655,169900,2407,71,5,3,3,1915,None: Forced air,Central,Garage - Detached: Covered,Single Family,null,null,null
5717 N Talman Ave,60659,400000,1673,239,4,3,2,1954,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
4858 S Champlain Ave #1S,60615,350000,2600,135,3,3,3,2003,Forced air: Gas,Central,Garage - Detached: Covered,Condo,null,3,332
833 W Buckingham Pl #7,60657,424900,1150,369,3,2,1,2015,Forced air: Gas,Central,Garage: None,Condo,No,2,214
714 W Fullerton Ave #2,60614,414500,1700,244,3,2,2,1926,Radiant,Central,Garage - Detached: Covered,Condo,null,3,404
8743 S Kenwood Ave,60619,179000,1600,112,3,2,2,1943,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
10817 S Prospect Ave,60643,239900,1445,166,3,2,1,1911,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
1150 N Lake Shore Dr #21GH,60611,519000,2150,241,3,3,3,1957,Baseboard: Gas,Refrigerator,Garage: Garage - Attached: Covered,Condo,null,9,1860
1820 N Richmond St,60647,515000,1450,355,3,2,2,1892,Forced air: Gas,Central,Garage: Covered,Single Family,null,null,null
1516 N Maplewood Ave,60622,650000,2200,295,3,3,2,1877,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
3006 W 103rd St,60655,249900,1400,179,4,2,1,1972,Gas,Central,Garage - Attached: Garage - Detached: Covered,Single Family,null,null,null
2735 W Armitage Ave APT 202,60647,334900,1350,248,2,2,2,1912,Forced air: Gas,Central,Off-street: Covered,Condo,null,5,354
6053 N Keeler Ave,60646,335000,986,340,2,4,2,1954,Gas,Central,Garage - Attached: Covered,Single Family,null,null,null
2950 W Palmer St #2C,60647,410000,1607,255,3,2,2,1909,Forced air: Gas,Central,Covered,Condo,null,2,443
1000 N Lake Shore Dr APT 1604,60611,200000,800,250,1,1,1,1954,null,None,Garage - Attached: Covered,Condo,null,9,779
4332 N St Louis Ave,60618,399000,null,NaN,6,3,null,1924,Gas,null,Garage - Detached: Covered,Multiple Occupancy,null,null,null
6606 S University Ave #1,60637,399000,2450,163,3,3,2,2020,Forced air: Gas,Central,Garage: Garage - Detached: Covered,Condo,null,3,178
2024 S Wabash Ave APT 204,60616,299900,1320,227,2,2,2,1920,Gas,Central,Garage - Attached: Covered,Condo,null,7,564
5622 N Mulligan Ave,60646,295000,2000,148,3,2,2,1906,Forced air: Gas,Central,Garage: Carport: Covered,Single Family,null,null,null
941 W Altgeld St,60614,594000,2152,276,3,2,1,1881,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,2,null
860 N Lake Shore Dr #4M,60611,299900,1600,187,2,2,2,1951,null,null,Garage - Attached: Covered,Condo,null,9,2917
3958 S Drexel Blvd,60653,979900,4000,245,5,5,4,2019,Forced air: Gas,Central,Garage - Attached: Covered,Single Family,null,null,null
5040 N Western Ave,60625,365000,1600,228,3,3,2,1904,null,null,Garage - Detached: Covered,Single Family,null,null,null
832 W Barry Ave #2,60657,459000,1500,306,3,3,2,1989,Forced air: Gas,Central,None: Covered,Townhouse,null,3,110
3604 W 117th St,60655,219900,1966,112,3,2,2,1957,Gas,Central,Garage: Covered,Single Family,null,null,null
2940 W Sherwin Ave,60645,349900,1747,200,4,2,2,1925,Baseboard,Other,Garage - Detached: None: Covered,Single Family,null,null,null
833 W Lakeside Pl,60640,699900,2172,322,3,3,2,1906,Other,None,Garage - Detached: Covered,Single Family,null,null,null
235 W Van Buren St UNIT 2108,60607,161820,696,233,1,1,1,2010,Forced air,Central,Garage - Attached,Condo,No,9,279
9544 S Winchester Ave,60643,575000,3627,159,4,4,4,1921,Forced air: Radiant: Gas,Central,Garage - Detached: Off-street: On-street: Covered,Single Family,null,2,null
1845 N California Ave #2,60647,329900,1278,258,3,2,1,2005,Gas,Central,Covered,Condo,null,3,225
4309 N Bernard St,60618,239900,1254,191,4,2,1,1905,Gas,Central,Garage - Detached: None: Covered,Single Family,null,null,null
2672 N Orchard St APT A,60614,735000,null,NaN,3,3,3,1999,Forced air: Gas,Central,Garage: Garage - Detached: Covered,Townhouse,null,3,210
2636 N Orchard St APT 2F,60614,375000,1200,313,2,2,2,1890,Forced air: Gas,Central,None: Covered,Condo,null,4,265
9043 S Cornell Ave,60617,189500,1388,137,3,3,2,1952,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
5434 S Ingleside Ave,60615,565000,2044,276,4,3,2,1895,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,2,null
8038 S Dobson Ave,60619,134900,null,NaN,4,3,2,1925,null,null,Garage - Detached: Covered,Multiple Occupancy,null,null,null
6357 N Natoma Ave,60631,350000,1253,279,3,2,2,1943,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
6631 N Maplewood Ave,60645,495900,2300,216,3,2,2,1926,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
222 E Pearson St APT 2109,60611,300000,1002,299,2,1,1,1963,Forced air: Gas,Central,Garage - Attached: Covered,Condo,null,9,833
1622 N Hamlin Ave,60647,499900,2600,192,4,3,2,1896,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
2779 N Kenmore Ave,60614,599000,1600,374,2,2,1,1888,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,3,null
5052 N Marine Dr APT D4,60640,103000,1000,103,2,1,1,1939,Other,Other,None: Covered,Condo,null,8,550
2540 N Kedzie Blvd APT G7,60647,199500,900,222,1,1,1,null,Forced air: Gas,Central,None,Condo,No,3,191
10416 S Walden Pkwy,60643,270000,1244,217,2,3,2,1999,Gas,Central,Garage - Attached: Covered,Townhouse,null,2,120
3918 W Cortland St #1,60647,210000,1200,175,3,2,1,1929,Forced air: Gas,Central,None: Covered,Condo,No,4,322
9612 S Seeley Ave,60643,284900,1118,255,3,3,3,1911,Other: Gas,None,Garage: Covered,Single Family,null,2,null
2550 N Lakeview Ave UNIT S3802,60614,6750000,4250,1588,3,4,3,2011,Heat pump: Gas,Central,Garage - Attached: Covered,Condo,null,9,4200
2133 N Lincoln Ave,60614,849000,2144,396,4,3,2,1970,Forced air: Gas,Central,Garage: Covered,Townhouse,null,3,560
4345 S Forrestville Ave,60653,475000,2700,176,4,4,3,1885,Forced air: Gas,Central,Garage: Garage - Detached: Covered,Single Family,null,null,null
840 N Lake Shore Dr APT 2601,60611,13500000,8800,1534,6,8,6,2007,Forced air: Electric,Central,Garage - Attached: Covered,Condo,null,9,8542
2145 N Lincoln Ave,60614,395000,1092,362,2,1,1,1974,Gas,Central,Garage: Covered,Townhouse,null,2,280
626 W Wrightwood Ave SIDE 1E,60614,435000,1600,272,2,2,2,1997,Forced air: Gas,Central,None: Covered,Condo,null,4,414
2227 N Kimball Ave APT G,60647,149900,824,182,2,1,1,2014,Forced air: Gas,Central,None,Condo,No,3,119
404 E 46th St #C4,60653,269900,3000,90,4,4,3,2007,Forced air,Central,Garage - Attached: Covered,Townhouse,null,4,230
1631 S Michigan Ave APT 506,60616,344900,1245,277,2,2,2,1920,Forced air: Gas,Central,Garage - Attached: Covered,Condo,null,6,572
1734 N Saint Louis Ave,60647,279900,2710,103,9,3,3,1886,Forced air: Gas,null,Garage - Detached: Covered,Multiple Occupancy,null,null,null
2014 W Walton St,60622,660000,2600,254,4,3,2,1895,Gas,null,Garage - Detached: None: Covered,Single Family,null,null,null
5527 S University Ave APT 1E,60637,139900,1061,132,2,1,1,1923,Gas,null,None,Condo,No,4,664
3146 N Kilbourn Ave,60641,329900,1000,330,5,3,3,1926,Baseboard: Gas,null,Garage - Detached: Covered,Single Family,null,null,null
3722 W 63rd Pl,60629,189500,1332,142,3,2,2,1962,Forced air: Gas,Central,Garage: None,Single Family,No,null,null
1415 N Dearborn St APT 8A,60610,245000,1300,188,2,2,2,1975,Forced air: Electric,Central,Garage: Garage - Attached: Covered,Condo,null,9,1088
6115 S Archer Ave S #2C,60638,124900,1000,125,2,1,1,1972,Electric,Central,Covered,Condo,null,3,130
6120 W 65th St UNIT 4,60638,269900,1913,141,3,3,2,2005,Forced air: Gas,Central,Garage - Attached: Covered,Townhouse,null,2,75
1301 W 73rd St,60636,150000,1683,89,6,2,2,1927,Forced air: Gas,null,Garage - Detached: Covered,Single Family,null,null,null
3413 S Prairie Ave,60616,399000,3000,133,4,5,4,1890,Forced air: Gas,Central,Garage: None: Covered,Single Family,null,null,null
1312 E 54th St #1-B,60615,200000,1200,167,2,2,1,1920,null,null,Garage - Detached: Covered,Condo,null,3,600
3240 N Sheffield Ave STE 1,60657,300000,1600,188,4,2,1,1999,Gas,Central,None,Condo,No,4,200
10848 S Bell Ave,60643,525000,3200,164,5,3,2,1911,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
6456 S Sangamon St,60621,179000,3600,50,4,3,2,1940,null,null,Garage - Detached: Covered,Single Family,null,null,null
2853 W Congress Pkwy,60612,229000,1222,187,3,3,2,2020,Gas,Central,Garage - Detached: Covered,Townhouse,null,3,250
3100 N Sheridan Rd APT 1B,60657,299900,1200,250,2,1,1,1923,Other,Wall,Garage: Garage - Detached: Covered,Condo,null,9,863
1 E Scott St #1502-1503,60610,439000,1300,338,1,2,1,1970,Forced air: Electric,Central,Garage - Attached: Covered,Condo,null,9,1205
